Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 435.586312 0.000000 0.000000 0.000000 0.000000 0.000000 0.060168
0.017462 1.419549 0.000000 0.000000 435.676114 0.000000 0.000000 0.000000 0.000000 0.000000 0.060168
0.030877 1.497723 0.000641 0.000000 435.814113 0.003645 0.084777 0.000004 0.000019 0.005807 0.173594
0.043261 1.517017 0.006526 0.000000 435.835453 0.008697 0.254505 0.000777 0.000100 0.015912 0.173594
0.056503 1.433379 0.003310 0.000000 435.862681 0.006650 0.149606 0.000691 0.000336 0.007007 0.175314
0.069387 1.511938 0.000754 0.000000 435.867115 0.001812 0.029034 0.001179 0.000467 0.002208 0.175314
0.083263 1.491075 0.026223 0.000000 435.792970 0.054720 1.274779 0.001949 0.000211 0.079043 0.175222
0.100638 1.365457 0.103532 0.000000 435.737582 0.229468 5.789516 0.004883 0.000890 0.353112 0.175222
0.118612 1.335683 0.239353 0.000000 435.674743 0.569673 14.832712 0.010277 0.003325 0.906447 0.173901
0.136355 1.316194 0.407164 0.000000 435.565858 1.053635 28.071709 0.016683 0.007548 1.716043 0.173901
0.153957 1.322209 0.556405 0.000000 435.440419 1.599246 43.318024 0.021907 0.011995 2.638006 0.173581
0.168155 1.307113 0.645324 0.000000 435.303776 2.060724 56.764289 0.023793 0.015049 3.446953 0.173581
0.182425 1.265551 0.651840 0.000000 435.134513 2.331531 65.113998 0.022027 0.015763 3.939014 0.172816
0.194990 1.176907 0.590995 0.000000 434.970512 2.353146 67.022845 0.018103 0.014544 4.024099 0.172816
0.207327 1.208273 0.497645 0.000000 434.766324 2.179096 63.872770 0.013810 0.012526 3.777067 0.171434
0.219444 1.149003 0.413889 0.000000 434.532706 1.954757 59.406158 0.010102 0.011342 3.444602 0.171434
0.231431 1.053883 0.388424 0.000000 434.309731 1.870750 59.154137 0.007810 0.012292 3.387799 0.169974
0.243008 1.016349 0.411841 0.000000 434.055650 1.766447 58.922270 0.007700 0.015227 3.288747 0.169974
0.255726 0.995560 0.380872 0.000000 433.776618 1.674917 58.441224 0.012810 0.022600 3.155221 0.187043
0.270112 0.938580 0.346461 0.000000 433.515024 1.542881 57.689361 0.014041 0.023481 3.078647 0.187043
0.282535 0.866425 0.316057 0.000000 433.209693 1.462556 56.729708 0.013298 0.020846 2.957575 0.186652
0.294857 0.795855 0.291185 0.000000 432.888972 1.465919 55.466103 0.012138 0.017227 2.839670 0.186652
0.308918 0.712058 0.267870 0.000000 432.590659 1.456410 53.893440 0.010189 0.013483 2.707463 0.185557
0.322370 0.683242 0.253850 0.000000 432.264043 1.470440 52.031741 0.008365 0.012061 2.576103 0.185557
0.334698 0.658756 0.254401 0.000000 431.946819 1.513449 49.726445 0.006995 0.013094 2.440983 0.184473
0.346799 0.574271 0.257276 0.000000 431.627062 1.574426 47.399006 0.008388 0.013765 2.306087 0.184473
0.359328 0.531618 0.259779 0.000000 431.305355 1.628237 44.966991 0.006513 0.014950 2.169128 0.183294
0.371745 0.463927 0.256529 0.000000 430.973604 1.676356 42.261760 0.003955 0.015438 2.031457 0.183294
0.385066 0.448429 0.249034 0.000000 430.655128 1.726764 39.452452 0.005062 0.015209 1.901576 0.181938
0.397613 0.385317 0.243043 0.000000 430.329431 1.764206 36.606433 0.008749 0.014663 1.767420 0.181938
0.410000 0.356548 0.246469 0.000000 430.027904 1.787542 33.854330 0.011840 0.013368 1.645000 0.180881
0.422078 0.320917 0.257674 0.000000 429.706643 1.783927 31.070251 0.012243 0.010831 1.535357 0.180881
0.434249 0.299396 0.277775 0.000000 429.399761 1.779409 28.246329 0.009204 0.008109 1.430410 0.179849
0.446146 0.357821 0.308184 0.000000 429.092191 1.752367 25.411132 0.005563 0.005613 1.332384 0.179849
0.458107 0.230023 0.329141 0.000000 428.785679 1.750122 22.651398 0.003221 0.003171 1.243350 0.178887
0.473568 0.198012 0.344842 0.000000 428.489038 1.721944 19.924183 0.004136 0.001533 1.155646 0.178887
0.486932 0.186465 0.360841 0.000000 428.221722 1.694899 17.303606 0.007964 0.000630 1.072750 0.178445
0.498881 0.171629 0.370987 0.000000 427.971487 1.658383 14.770457 0.009898 0.000129 0.984904 0.178445
0.511233 0.145439 0.374816 0.000000 427.731269 1.607690 12.520399 0.011046 0.000008 0.896521 0.177923
0.523232 0.130112 0.375251 0.000000 427.493587 1.556336 10.475262 0.006910 0.000094 0.811091 0.177923
0.535643 0.117008 0.367677 0.000000 427.285187 1.512401 8.611255 0.008595 0.000274 0.731344 0.177571
0.547818 0.108199 0.358402 0.000000 427.072382 1.470213 7.016370 0.011632 0.000425 0.653769 0.177571
0.560800 0.102263 0.381276 0.000000 426.860080 1.428789 5.679569 0.014615 0.000601 0.581466 0.177117
0.573192 0.095487 0.385071 0.000000 426.676812 1.393320 4.580124 0.015813 0.000865 0.517863 0.177117
0.585506 0.110197 0.364953 0.000000 426.497237 1.360989 3.742203 0.015554 0.001097 0.459541 0.176919
0.597761 0.094357 0.311327 0.000000 426.322738 1.312869 3.178264 0.013018 0.001301 0.410875 0.176919
0.610856 0.100085 0.293407 0.000000 426.165911 1.252587 2.839036 0.008743 0.001471 0.370087 0.176919
0.623929 0.110458 0.267316 0.000000 426.018424 1.193640 2.718979 0.005028 0.001571 0.336363 0.176919
0.639364 0.098664 0.249525 0.000000 425.893244 1.109835 2.816044 0.002528 0.001403 0.306065 0.176900
0.653020 0.108360 0.236807 0.000000 425.776491 1.034971 3.082053 0.001692 0.001463 0.287939 0.176900
0.666137 0.120979 0.225728 0.000000 425.699604 0.973274 3.475455 0.001274 0.001379 0.273491 0.177025
0.678910 0.121790 0.221505 0.000000 425.590571 0.905224 4.005751 0.001160 0.001191 0.263213 0.177025
0.691280 0.130448 0.220207 0.000000 425.521350 0.866552 4.628975 0.000880 0.001235 0.254819 0.177479
0.704194 0.138930 0.219309 0.000000 425.454851 0.844631 5.358493 0.000686 0.001079 0.245269 0.177479
0.717549 0.147671 0.214696 0.000000 425.414251 0.826852 6.115502 0.000378 0.001082 0.236115 0.177879
0.730342 0.152418 0.198905 0.000000 425.383423 0.804963 6.878113 0.000181 0.001086 0.227090 0.177879
0.742807 0.149523 0.155651 0.000000 425.359796 0.767208 7.669591 0.000122 0.001155 0.220036 0.178309
0.755102 0.168172 0.143327 0.000000 425.326135 0.714522 8.444754 0.000076 0.001082 0.213646 0.178309
0.770647 0.162511 0.142733 0.000000 425.340284 0.640758 9.205750 0.000066 0.001195 0.207432 0.178749
0.784727 0.284129 0.148061 0.000000 425.368604 0.554426 9.918855 0.000055 0.001385 0.202061 0.178749
0.797540 0.182981 0.137688 0.000000 425.397228 0.461870 10.639184 0.000080 0.001830 0.196676 0.179885
0.811300 0.184262 0.133167 0.000000 425.465519 0.367220 11.304421 0.000202 0.002436 0.192734 0.179885
0.824294 0.196036 0.124857 0.000000 425.538506 0.283101 11.891431 0.000269 0.003169 0.191035 0.180215
0.836875 0.196134 0.111811 0.000000 425.619893 0.209067 12.385160 0.000395 0.003384 0.186739 0.180215
0.849849 0.204276 0.095775 0.000000 425.666326 0.148820 12.783740 0.000449 0.003628 0.187144 0.181668
0.863089 0.212605 0.083432 0.000000 425.728109 0.108061 13.026793 0.000560 0.003695 0.190569 0.181668
0.875538 0.218983 0.078854 0.000000 425.797874 0.074749 13.161426 0.001299 0.003471 0.196303 0.182420
0.888357 0.229822 0.090470 0.000000 425.849196 0.057005 13.129535 0.003258 0.003313 0.205024 0.182420
0.901329 0.259474 0.124611 0.000000 425.879385 0.049877 13.043402 0.005998 0.002998 0.213908 0.182998
0.916448 0.211475 0.165276 0.000000 425.949980 0.054796 12.886169 0.009692 0.002722 0.224575 0.182998
0.930156 0.229276 0.189932 0.000000 426.031036 0.075120 12.662283 0.012611 0.002083 0.235602 0.183426
0.942276 0.227134 0.222899 0.000000 426.106444 0.111550 12.385941 0.014132 0.001776 0.244312 0.183426
0.955836 0.231532 0.247320 0.000000 426.200177 0.163391 12.070628 0.013989 0.001282 0.252278 0.184016
0.968338 0.229251 0.257883 0.000000 426.302293 0.230510 11.725423 0.011695 0.000989 0.259483 0.184016
0.982451 0.232127 0.262806 0.000000 426.371038 0.317839 11.320873 0.009288 0.000652 0.268825 0.184559
0.996153 0.238669 0.259639 0.000000 426.479506 0.424842 10.869416 0.006347 0.000541 0.278406 0.184559
1.009624 0.230275 0.249592 0.000000 426.578656 0.555428 10.334400 0.004440 0.000406 0.287990 0.184432
1.022749 0.231720 0.252060 0.000000 426.670042 0.709364 9.825732 0.003764 0.000435 0.298394 0.184432
1.036104 0.228777 0.246865 0.000000 426.732752 0.886861 9.298269 0.004212 0.000534 0.309327 0.185087
1.048759 0.245874 0.253026 0.000000 426.806654 1.091027 8.780123 0.003235 0.000637 0.320825 0.185087
1.062673 0.229106 0.239496 0.000000 426.868219 1.323355 8.229890 0.002649 0.000888 0.332854 0.185051
1.075917 0.235115 0.230714 0.000000 426.930506 1.578665 7.690080 0.002243 0.001011 0.346365 0.185051
1.089390 0.231650 0.219869 0.000000 426.995895 1.887255 7.158962 0.002382 0.000937 0.362206 0.184789
1.103445 0.225344 0.216099 0.000000 427.049015 2.248199 6.605322 0.002573 0.000664 0.372212 0.184789
1.116859 0.220017 0.225848 0.000000 427.108294 2.634425 6.036259 0.003177 0.000467 0.377819 0.184285
1.130420 0.226285 0.242604 0.000000 427.161845 3.046534 5.489495 0.003762 0.000284 0.383519 0.184285
1.143134 0.219640 0.270518 0.000000 427.204269 3.493459 4.884212 0.004295 0.000256 0.381063 0.184102
1.158378 0.213415 0.296139 0.000000 427.249600 3.954739 4.262184 0.005051 0.000368 0.378525 0.184102
1.172652 0.209633 0.322898 0.000000 427.284518 4.424077 3.652539 0.005686 0.000501 0.377058 0.183974
1.185533 0.212633 0.337224 0.000000 427.294349 4.892517 3.100998 0.006143 0.000596 0.374302 0.183974
1.198934 0.208691 0.330091 0.000000 427.301407 5.350791 2.629359 0.006570 0.000608 0.370354 0.183594
1.213246 0.206091 0.296821 0.000000 427.321926 5.805820 2.200837 0.006703 0.000573 0.365791 0.183594
1.227755 0.206991 0.277496 0.000000 427.347027 6.253677 1.841470 0.006847 0.000584 0.361939 0.183005
1.240482 0.203126 0.256064 0.000000 427.358491 6.711960 1.559482 0.006417 0.000758 0.356890 0.183005
1.253796 0.200726 0.230258 0.000000 427.348037 7.199875 1.342531 0.005744 0.000905 0.352486 0.181138
1.268119 0.179968 0.212212 0.000000 427.334942 7.715914 1.156467 0.004998 0.001235 0.347881 0.181138
1.280921 0.188422 0.199867 0.000000 427.316045 8.173314 1.015178 0.004195 0.001571 0.339328 0.180556
1.294328 0.187219 0.194744 0.000000 427.288758 8.597783 0.886031 0.003396 0.001875 0.334504 0.180556
1.307129 0.182336 0.189120 0.000000 427.260151 9.005080 0.784863 0.003117 0.001958 0.327894 0.179833
1.319929 0.183129 0.181853 0.000000 427.224785 9.333595 0.708179 0.002931 0.001976 0.320822 0.179833
1.332445 0.185831 0.169307 0.000000 427.185055 9.624622 0.669216 0.002769 0.001821 0.316156 0.178685
1.345306 0.172954 0.157835 0.000000 427.162151 9.862359 0.661889 0.002491 0.001700 0.308493 0.178685
1.357986 0.161477 0.135204 0.000000 427.108168 10.046060 0.678999 0.002087 0.001624 0.299183 0.178177
1.370416 0.158736 0.126067 0.000000 427.062904 10.130897 0.714690 0.001841 0.001450 0.290301 0.178177
1.383444 0.159267 0.122538 0.000000 426.991394 10.188686 0.777313 0.001543 0.001237 0.280127 0.177273
1.396656 0.147374 0.120493 0.000000 426.938931 10.159583 0.827891 0.000999 0.001106 0.268837 0.177273
1.409457 0.147065 0.119151 0.000000 426.884793 10.086446 0.935183 0.000717 0.000967 0.258738 0.176384
1.421515 0.132239 0.116008 0.000000 426.811388 9.865052 1.103007 0.000475 0.000822 0.250124 0.176384
1.434827 0.133856 0.111567 0.000000 426.739146 9.678428 1.315382 0.000414 0.000728 0.243451 0.175619
1.447322 0.115959 0.101667 0.000000 426.666199 9.369761 1.553944 0.000409 0.000629 0.237876 0.175619
1.460097 0.117872 0.087670 0.000000 426.595584 9.093798 1.817570 0.000484 0.000491 0.233462 0.175004
1.472916 0.103315 0.070501 0.000000 426.510630 8.743086 2.080353 0.000481 0.000471 0.227018 0.175004
1.486202 0.101019 0.054990 0.000000 426.428385 8.354479 2.313373 0.000407 0.000523 0.222114 0.174558
1.499687 0.100639 0.045691 0.000000 426.369327 8.042708 2.490982 0.000376 0.000544 0.215409 0.174558
1.514846 0.082662 0.042991 0.000000 426.329300 7.492154 2.600563 0.000456 0.000850 0.207422 0.174174
1.529198 0.087685 0.042951 0.000000 426.275519 7.131204 2.558618 0.000511 0.001009 0.197098 0.174174
1.542101 0.075468 0.044092 0.000000 426.218849 6.595815 2.431970 0.000565 0.001368 0.183571 0.174002
