Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 584.989428 0.000000 0.000000 0.000000 0.000000 0.000000 0.239834
0.014826 0.005171 0.000000 0.000000 584.861244 0.000000 0.000000 0.000000 0.000000 0.000000 0.239834
0.027840 0.496059 0.000001 0.000000 585.052377 0.000147 0.000027 0.000001 0.000000 0.000031 0.128283
0.040052 0.138399 0.000003 0.000000 585.256922 0.000737 0.000250 0.000000 0.000000 0.000434 0.128283
0.053237 0.187799 0.000004 0.000000 585.275920 0.000581 0.000099 0.000079 0.000459 0.000140 0.128520
0.066101 0.004301 0.000002 0.000000 585.269834 0.000027 0.000121 0.000042 0.000024 0.000281 0.128520
0.078621 0.010692 0.000010 0.000000 585.268877 0.003118 0.000129 0.000065 0.000218 0.001600 0.128760
0.093807 0.006111 0.000065 0.000000 585.208678 0.016464 0.000215 0.000333 0.000499 0.004764 0.128760
0.112217 0.004960 0.000190 0.000000 585.175919 0.043460 0.000513 0.000942 0.001659 0.009778 0.128806
0.130547 0.006139 0.000410 0.000000 585.202286 0.083083 0.001272 0.001559 0.003770 0.015853 0.128806
0.149563 0.237502 0.000764 0.000000 585.244827 0.123556 0.002313 0.002059 0.006301 0.021508 0.128812
0.163592 0.201046 0.001133 0.000000 585.237845 0.150819 0.003303 0.002270 0.007864 0.024780 0.128812
0.177475 0.234225 0.001491 0.000000 585.222199 0.159800 0.004131 0.001974 0.007901 0.024311 0.128709
0.190138 0.211241 0.001690 0.000000 585.297968 0.148155 0.005591 0.001355 0.008502 0.021265 0.128709
0.203522 0.006444 0.001778 0.000000 585.274709 0.121552 0.006400 0.000737 0.004940 0.017131 0.128576
0.216232 0.006371 0.001694 0.000000 585.285056 0.092430 0.006516 0.000287 0.001216 0.013782 0.128576
0.229649 0.006522 0.001479 0.000000 585.297815 0.074764 0.006583 0.000078 0.000056 0.013587 0.128386
0.246159 0.006396 0.001254 0.000000 585.298114 0.063940 0.005729 0.000013 0.001053 0.016627 0.128386
0.261572 0.008597 0.001034 0.000000 585.294422 0.053646 0.005010 0.000072 0.001472 0.019078 0.128194
0.273751 0.007902 0.000882 0.000000 585.293168 0.044991 0.004467 0.000076 0.003853 0.022352 0.128194
0.286535 0.008746 0.000670 0.000000 585.299044 0.034000 0.003356 0.000043 0.004667 0.026196 0.247976
0.299075 0.251163 0.000558 0.000000 585.296026 0.025447 0.002292 0.000022 0.004563 0.030637 0.247976
0.311924 0.243687 0.000506 0.000000 585.295505 0.017619 0.001391 0.000002 0.004064 0.035137 0.127601
0.324275 0.007861 0.000533 0.000000 585.289704 0.010563 0.000934 0.000001 0.002517 0.039110 0.127601
0.337373 0.011476 0.000495 0.000000 585.285429 0.006084 0.000750 0.000009 0.000955 0.041108 0.081705
0.350036 0.008923 0.000459 0.000000 585.281367 0.004647 0.000772 0.000008 0.000162 0.041545 0.081705
0.363009 0.008272 0.000422 0.000000 585.279115 0.004346 0.001043 0.000003 0.000048 0.042279 0.081385
0.375820 0.008424 0.000531 0.000000 585.282674 0.005414 0.002059 0.000002 0.000001 0.043411 0.081385
0.388864 0.008062 0.000601 0.000000 585.285537 0.007369 0.002818 0.000005 0.000085 0.045173 0.081333
0.403303 0.006858 0.000766 0.000000 585.282740 0.009847 0.003511 0.000019 0.000270 0.047590 0.081333
0.418343 0.006923 0.001028 0.000000 585.278083 0.009529 0.004174 0.000023 0.000393 0.050592 0.080998
0.432455 0.007527 0.001284 0.000000 585.272795 0.009120 0.004957 0.000024 0.000361 0.052985 0.080998
0.446122 0.004738 0.001606 0.000000 585.267487 0.008715 0.005741 0.000032 0.000131 0.054575 0.080996
0.458865 0.005614 0.002017 0.000000 585.265301 0.008175 0.006766 0.000042 0.000043 0.055566 0.080996
0.471689 0.003558 0.002409 0.000000 585.262828 0.007413 0.007192 0.000045 0.000084 0.055265 0.080945
0.484435 0.005193 0.002853 0.000000 585.256102 0.006837 0.007719 0.000048 0.000016 0.053567 0.080945
0.497345 0.004026 0.003182 0.000000 585.254806 0.006567 0.007917 0.000037 0.000010 0.049494 0.080968
0.510402 0.004253 0.003553 0.000000 585.248659 0.007209 0.007974 0.000025 0.000008 0.044505 0.080968
0.525107 0.003777 0.003900 0.000000 585.243507 0.008838 0.006202 0.000025 0.000013 0.040355 0.080950
0.541331 0.002939 0.004271 0.000000 585.236249 0.011508 0.009073 0.000030 0.000010 0.037027 0.080950
0.554534 0.002978 0.004507 0.000000 585.226694 0.014216 0.011512 0.000025 0.000009 0.033593 0.080905
0.568029 0.002919 0.004643 0.000000 585.220398 0.015923 0.013354 0.000012 0.000009 0.030198 0.080905
0.581350 0.002009 0.005009 0.000000 585.211467 0.015769 0.014471 0.000006 0.000009 0.027468 0.080869
0.597777 0.002428 0.005247 0.000000 585.205725 0.014118 0.014442 0.000020 0.000002 0.024929 0.080869
0.611631 0.001374 0.005208 0.000000 585.194314 0.015038 0.013610 0.000053 0.000004 0.022459 0.080931
0.624277 0.001679 0.005351 0.000000 585.187227 0.013986 0.012454 0.000075 0.000008 0.020539 0.080931
0.637113 0.001246 0.005348 0.000000 585.177554 0.012753 0.011233 0.000083 0.000004 0.018693 0.080874
0.649705 0.001457 0.005229 0.000000 585.175040 0.011502 0.010763 0.000065 0.000006 0.016177 0.080874
0.662432 0.000830 0.004871 0.000000 585.172028 0.010060 0.011403 0.000053 0.000004 0.013738 0.080911
0.675268 0.242173 0.004432 0.000000 585.168467 0.008514 0.012448 0.000062 0.000012 0.011441 0.080911
0.688004 0.280741 0.003671 0.000000 585.162590 0.007195 0.013792 0.000068 0.000017 0.009538 0.080794
0.703765 0.261993 0.003008 0.000000 585.161650 0.006478 0.014857 0.000064 0.000007 0.007678 0.080794
0.717518 0.001382 0.002421 0.000000 585.153083 0.006276 0.015246 0.000089 0.000002 0.006114 0.080917
0.730776 0.296686 0.002085 0.000000 585.147341 0.006332 0.013946 0.000097 0.000003 0.004643 0.080917
0.743869 0.272832 0.001941 0.000000 585.142456 0.006999 0.012839 0.000107 0.000002 0.003280 0.081135
0.757032 0.002410 0.001913 0.000000 585.138874 0.008482 0.012104 0.000099 0.000006 0.002370 0.081135
0.772788 0.001833 0.001940 0.000000 585.133226 0.010082 0.012411 0.000114 0.000012 0.001780 0.081102
0.786963 0.001961 0.002057 0.000000 585.129600 0.011904 0.013467 0.000125 0.000022 0.001567 0.081102
0.804430 0.002226 0.002403 0.000000 585.124815 0.013237 0.014651 0.000115 0.000041 0.001708 0.081216
0.822084 0.001896 0.002639 0.000000 585.119790 0.014986 0.015318 0.000102 0.000055 0.002101 0.081216
0.835864 0.002359 0.003037 0.000000 585.113981 0.015801 0.015102 0.000090 0.000054 0.002683 0.081211
0.849315 0.001746 0.003411 0.000000 585.110325 0.016224 0.014073 0.000072 0.000046 0.003169 0.081211
0.862722 0.001975 0.003797 0.000000 585.105403 0.016414 0.013042 0.000039 0.000031 0.003703 0.081287
0.876049 0.001754 0.004013 0.000000 585.104676 0.016356 0.011653 0.000027 0.000019 0.003897 0.081287
0.891138 0.002918 0.004454 0.000000 585.102628 0.015391 0.009949 0.000023 0.000015 0.004018 0.081278
0.904926 0.002506 0.004748 0.000000 585.103183 0.013774 0.008236 0.000022 0.000023 0.004162 0.081278
0.922400 0.002305 0.005239 0.000000 585.098953 0.012471 0.006242 0.000020 0.000018 0.004218 0.081244
0.936179 0.003055 0.005838 0.000000 585.098848 0.011751 0.004725 0.000017 0.000037 0.004278 0.081244
0.951461 0.001770 0.006425 0.000000 585.094293 0.011032 0.003975 0.000021 0.000054 0.004251 0.081300
0.965727 0.002700 0.007238 0.000000 585.087678 0.010795 0.003855 0.000012 0.000068 0.004599 0.081300
0.979279 0.287661 0.008142 0.000000 585.082941 0.011411 0.004230 0.000016 0.000092 0.005112 0.081342
0.994791 0.003326 0.008986 0.000000 585.076885 0.011824 0.004556 0.000019 0.000080 0.005588 0.081342
1.013203 0.003097 0.009682 0.000000 585.071892 0.012265 0.004653 0.000016 0.000065 0.005724 0.081633
1.026905 0.284621 0.010443 0.000000 585.068958 0.012098 0.004400 0.000013 0.000040 0.006067 0.081633
1.043512 0.319872 0.010661 0.000000 585.065924 0.011731 0.003794 0.000011 0.000024 0.006354 0.081315
1.057185 0.002897 0.010992 0.000000 585.061341 0.011526 0.003269 0.000027 0.000011 0.006609 0.081315
1.071810 0.002490 0.011168 0.000000 585.055729 0.010757 0.002867 0.000031 0.000020 0.006656 0.081668
1.085848 0.003260 0.011677 0.000000 585.053198 0.010257 0.002601 0.000019 0.000018 0.006735 0.081668
1.101328 0.002919 0.012168 0.000000 585.052619 0.010138 0.002604 0.000024 0.000010 0.006531 0.081698
1.118123 0.003002 0.012783 0.000000 585.049548 0.010133 0.002702 0.000009 0.000015 0.006418 0.081698
1.135290 0.003494 0.013167 0.000000 585.047015 0.010277 0.002776 0.000001 0.000033 0.006539 0.081890
1.151844 0.004025 0.013953 0.000000 585.051369 0.010363 0.002771 0.000005 0.000039 0.006710 0.081890
1.168212 0.004259 0.014787 0.000000 585.046504 0.010730 0.002544 0.000006 0.000045 0.007211 0.081985
1.182766 0.005347 0.015390 0.000000 585.043860 0.011092 0.002329 0.000013 0.000068 0.007708 0.081985
1.200191 0.005474 0.016347 0.000000 585.045469 0.012473 0.002007 0.000026 0.000065 0.008228 0.081994
1.213876 0.005664 0.016998 0.000000 585.045069 0.015096 0.001797 0.000025 0.000041 0.008907 0.081994
1.231554 0.003785 0.017501 0.000000 585.044311 0.018773 0.001457 0.000021 0.000017 0.009728 0.082007
1.245036 0.005498 0.017277 0.000000 585.044739 0.022411 0.001265 0.000025 0.000053 0.010513 0.082007
1.263577 0.005261 0.016724 0.000000 585.048215 0.025971 0.001142 0.000059 0.000149 0.011061 0.082019
1.276294 0.005619 0.015769 0.000000 585.050036 0.027922 0.001265 0.000067 0.000192 0.011470 0.082019
1.289988 0.321038 0.014699 0.000000 585.056572 0.028270 0.001840 0.000081 0.000142 0.011942 0.081981
1.303198 0.005136 0.013597 0.000000 585.060386 0.027086 0.002715 0.000051 0.000095 0.012382 0.081981
1.319919 0.006008 0.012741 0.000000 585.067223 0.024401 0.003589 0.000019 0.000045 0.013080 0.081709
1.334474 0.005281 0.012392 0.000000 585.070052 0.021356 0.004429 0.000029 0.000011 0.013685 0.081709
1.350183 0.006791 0.012697 0.000000 585.075188 0.018836 0.004977 0.000133 0.000006 0.013931 0.081661
1.367644 0.005301 0.013150 0.000000 585.082405 0.017283 0.005145 0.000192 0.000004 0.013903 0.081661
1.382325 0.005528 0.014038 0.000000 585.089289 0.016473 0.005502 0.000157 0.000018 0.013429 0.081740
1.398452 0.005375 0.015264 0.000000 585.094227 0.016040 0.006613 0.000105 0.000116 0.012639 0.081740
1.414737 0.004353 0.016092 0.000000 585.099388 0.015553 0.008292 0.000133 0.000302 0.011811 0.081639
1.430673 0.004852 0.017119 0.000000 585.100951 0.015554 0.010587 0.000337 0.000506 0.011000 0.081639
1.445102 0.004988 0.017961 0.000000 585.113642 0.015987 0.013500 0.000514 0.000698 0.009948 0.081642
1.460060 0.005656 0.019186 0.000000 585.116189 0.017066 0.016131 0.000676 0.000598 0.009034 0.081642
