Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 577.818545 0.000000 0.000000 0.000000 0.000000 0.000000 0.091351
0.014078 0.033688 0.000000 0.000000 577.836748 0.000000 0.000000 0.000000 0.000000 0.000000 0.091351
0.028172 0.067501 0.000051 0.000000 577.892936 0.000008 0.000185 0.000003 0.000001 0.000320 0.182862
0.041894 0.048529 0.000149 0.000000 577.903482 0.002707 0.000539 0.000001 0.000002 0.000821 0.182862
0.057882 0.032809 0.000088 0.000000 577.918087 0.000767 0.000628 0.000084 0.000047 0.000525 0.184315
0.075158 0.032224 0.000027 0.000000 577.935946 0.000972 0.000011 0.000059 0.000016 0.000147 0.184315
0.093523 0.032074 0.000800 0.000000 577.940497 0.009869 0.002302 0.000013 0.000031 0.004431 0.184376
0.111813 0.031897 0.003284 0.000000 577.944136 0.026263 0.014361 0.000289 0.000292 0.020080 0.184376
0.132501 0.031172 0.008012 0.000000 577.897083 0.041749 0.041264 0.000931 0.000747 0.051306 0.184517
0.150853 0.028042 0.014996 0.000000 577.859725 0.046935 0.084334 0.001762 0.001284 0.096533 0.184517
0.168170 0.028652 0.023344 0.000000 577.860161 0.038456 0.134988 0.002385 0.001753 0.147874 0.184675
0.185729 0.029183 0.031287 0.000000 577.799952 0.020208 0.186552 0.002425 0.001688 0.191745 0.184675
0.203062 0.027552 0.037421 0.000000 577.876038 0.004327 0.227969 0.002133 0.001285 0.216598 0.184780
0.219516 0.026205 0.040646 0.000000 577.915367 0.004420 0.249896 0.001300 0.000640 0.218829 0.184780
0.237248 0.025224 0.040949 0.000000 577.966440 0.027666 0.251675 0.000549 0.000189 0.202490 0.184821
0.249574 0.022692 0.040727 0.000000 577.961182 0.063152 0.243784 0.000091 0.000066 0.182572 0.184821
0.261938 0.022045 0.043220 0.000000 577.963163 0.090932 0.239249 0.000059 0.000131 0.178440 0.184714
0.274529 0.022184 0.045127 0.000000 577.946800 0.091120 0.228560 0.000175 0.000204 0.172382 0.184714
0.287060 0.022868 0.046719 0.000000 577.902534 0.115649 0.223714 0.000123 0.000062 0.165405 0.184515
0.301778 0.023175 0.048293 0.000000 577.894265 0.129677 0.212199 0.000088 0.000040 0.156402 0.184515
0.317258 0.025564 0.051425 0.000000 577.897747 0.132186 0.195606 0.000087 0.000024 0.146978 0.184332
